보유종목,회사,주식수,평균단가,취득원가
BNK금융지주,OKH,818280,8132.569866,6654719270
,OC,5549390,11997.82948,66580634940
,AFI,597735,18395.53252,10995653630
,OT,633215,21588.52331,13670176790
신한지주,OC,1953353,57335.49934,1.11996E+11
JB금융지주,OKIP,1086847,18401.83999,19999984590
,OT,716407,13675.77376,9797420050
,OC,2152279,24565.66722,52872169670
,AFI,1468428,34053.405,50004973390
iM금융지주,OC,5834588,14623.35205,85321234380
,AFI,5220000,14731.473,76898289060
하나금융지주,OC,469772,80347.95482,37745219430
KCC,OKH,28876,278115.3165,8030857880
,OT,7000,278395.6986,1948769890
현대차,OKH,33769,244421.6986,8253876340
,OT,7800,249177.9231,1943587800
포스코홀딩스,OKH,22700,434332.7617,9859353690
,OT,4500,437954.8667,1970796900
한국전력,OKH,340957,22980.62002,7835403260
,OT,80000,24993.55425,1999484340
KB금융,OKH,133881,74786.20723,10012452210
,OT,26400,75932.33333,2004613600
,OC,177886,78371.09013,13941119739
풍산,OT,113652,44138.38117,5016415297
한화,OT,339974,29443.55367,10010042715
LG,OC,100320,78907.88995,7916039520
OCI홀딩스,OC,376298,73702.11635,27733958980
E1,OT,63507,65231.17184,4142636030
,OKH,2244,66126.62656,148388150
리드코프,OC,2344132,4040.403996,9471240300
상상인,OC,8478,1995.598018,16918680
티와이홀딩스,OC,176812,2650.264971,468598650
세방전지,OC,70000,67806.78,4746474600
세방,OT,28295,12726.67503,360101270
,OC,130417,14431.44299,1882105500
기아,OT,919,120686.6376,110911020
삼성생명,OT,1077,100924.0669,108695220
삼성화재,OT,281,289780.0356,81428190
현대모비스,OT,284,243207.7817,69071010
세아제강,OC,343,158647.551,54416110
메리츠금융지주,OC,40000,107710.77,4308430800
태광산업,OC,35362,1098295.016,38837908340
DB증권,OC,1755871,10751.075,18877500810
SK,OC,30786,267026.6998,8220683980
LS,OC,38137,180218.0198,6872974620
LS증권,OC,2198565,4885.488496,10741064015
JB금융지주,OK,11563799,7493.398305,86652151825
iM금융지주,OK,4984970,7568.201449,37727257179
NICE,OK,3475069,15214.58098,52871718714
BNK금융지주,OK,4520613,14931.79505,67500866825
LG,OK,129438,83026.02003,10746721980
HDC,OK,401628,19379.71791,7783437345
SK하이닉스,OK,18782,604002.4843,11344374660
삼성전자,OK,107416,104651.311,11241225220
한화생명,OK,3610701,3203.842377,11568116873
한화손해보험,OK,1228229,5612.095187,6892938060
KG이니시스,OK,165323,11350.65971,1876525115
KG모빌리언스,OK,198444,5310.255387,1053788320
SK스퀘어,OK,2107,532967.532,1122962590
현대차,OK,6298,525710.4208,3310924230
우리금융지주,OK,323844,32743.82604,10603891600
KCC,OK,8002,523588.7591,4189757250
태광산업,OK,977,1157308.219,1130690130
하나금융지주,OK,99618,109872.3509,10945263850
신한지주,OK,69082,89812.1489,6204402870
J Trust(원화),OKH,8105100,4111.43364,33323580798

